Date,Remark,RefNo,ValueDate,Withdrawal,Deposit,Balance,Category
6/2/2024,Bonus payment - Jul-Sep 2024,REF891194,8/2/2024,,2911.94,56260.32,Salary
8/2/2024,Taxi fare - Instacart,REF416032,9/2/2024,68.65,,56191.67,Transportation
12/2/2024,Contract payment - Design Work,REF909275,12/2/2024,,6785.87,62977.54,Salary
13/02/2024,Online order from Overstock,REF809051,15/02/2024,147.5,,62830.04,Shopping
14/02/2024,Dinner at Red Lobster,REF825919,14/02/2024,197.36,,62632.68,Dining
16/02/2024,Stock purchase - GOOGL,REF758064,18/02/2024,,420.76,63053.44,Investment-Dividend received from {company}
16/02/2024,Building insurance annual payment,REF352906,18/02/2024,189.4,,62864.04,Insurance-Home
17/02/2024,Stock purchase - MSFT,REF473839,17/02/2024,,4270.38,67134.42,Investment
20/02/2024,Book purchase for Physics course,REF395482,20/02/2024,605.94,,66528.48,Education
20/02/2024,Pharmacy purchase at Rite Aid,REF308580,21/02/2024,321.2,,66207.28,Healthcare
20/02/2024,Taxi fare - Uber Eats,REF339774,20/02/2024,32.21,,66175.07,Transportation
20/02/2024,Contract payment - Design Work,REF546572,20/02/2024,,6240.49,72415.56,Salary
22/02/2024,Dinner at Outback Steakhouse,REF865768,23/02/2024,112.66,,72302.9,Dining
22/02/2024,Furniture purchase at Nordstrom,REF793712,22/02/2024,248.27,,72054.63,Shopping
22/02/2024,Two-wheeler insurance for Yamaha YZF,REF480009,22/02/2024,248.7,,71805.93,Insurance-Motor
22/02/2024,Life insurance installment #11 of 24,REF541818,23/02/2024,380.32,,71425.61,Insurance-Life
24/02/2024,Water utility bill - September,REF416814,24/02/2024,207.42,,71218.19,Bills
24/02/2024,Sports event tickets - Broadway Show,REF867255,24/02/2024,124.18,,71094.01,Entertainment
25/02/2024,Car service and maintenance,REF385636,27/02/2024,70.27,,71023.74,Transportation
26/02/2024,Car service and maintenance,REF218677,26/02/2024,132.18,,70891.56,Transportation
27/02/2024,Pharmacy purchase at Walgreens,REF310377,28/02/2024,219.2,,70672.36,Healthcare
28/02/2024,Bonus payment - 2024-2025,REF189187,1/3/2024,,5416.44,76088.8,Salary
28/02/2024,Retirement fund contribution,REF452399,1/3/2024,,201.77,76290.57,Investment-Dividend received from {company}
28/02/2024,Breakfast at Subway,REF937926,1/3/2024,130.13,,76160.44,Dining
29/02/2024,Housing protection plan payment,REF103717,2/3/2024,193.59,,75966.85,Insurance-Home
2/3/2024,Monthly salary from Global Solutions,REF999389,2/3/2024,,6319.99,82286.84,Salary
3/3/2024,Annual multi-trip insurance renewal,REF806031,5/3/2024,107.07,,82179.77,Insurance-Travel
6/3/2024,Doctor's consultation fee - Dr. Johnson,REF360482,7/3/2024,428.93,,81750.84,Healthcare
8/3/2024,Bonus payment - Apr-Jun 2024,REF681396,10/3/2024,,5122.27,86873.11,Salary
10/3/2024,Electricity bill payment for August,REF236110,12/3/2024,258.87,,86614.24,Bills
10/3/2024,Home contents insurance premium,REF213496,10/3/2024,105.12,,86509.12,Insurance-Home
11/3/2024,Overtime payment,REF687239,13/03/2024,,2973.91,89483.03,Salary
11/3/2024,Contract payment - Software Development,REF883288,13/03/2024,,3596.88,93079.91,Salary
12/3/2024,Stock purchase - MSFT,REF136909,13/03/2024,,677.48,93757.39,Investment
13/03/2024,Stock purchase - PG,REF343386,13/03/2024,1106.14,,92651.25,Investment
14/03/2024,Stock purchase - META,REF671744,15/03/2024,2501.73,,90149.52,Investment
15/03/2024,Streaming service subscription - Uber,REF201919,16/03/2024,106.85,,90042.67,Entertainment
18/03/2024,Overtime payment,REF290088,18/03/2024,,2683.49,92726.16,Salary
18/03/2024,Monthly salary from ABC Corporation,REF234185,18/03/2024,,3056.55,95782.71,Salary
19/03/2024,Bonus payment - 2024-2025,REF763373,21/03/2024,,6548.94,102331.65,Salary
20/03/2024,Family health plan premium,REF455959,20/03/2024,181,,102150.65,Insurance-Health
22/03/2024,Online course subscription - edX,REF236114,23/03/2024,666.85,,101483.8,Education
22/03/2024,Annual renewal of life insurance with Liberty,REF251884,23/03/2024,134.66,,101349.14,Insurance-Life
24/03/2024,Monthly salary from XYZ Industries,REF218327,26/03/2024,,3393.69,104742.83,Salary
24/03/2024,Mutual fund investment - Vanguard Total Market,REF188777,25/03/2024,4801.83,,99941,Investment
26/03/2024,Car service and maintenance,REF365514,26/03/2024,28.53,,99912.47,Transportation
26/03/2024,Streaming service subscription - Grubhub,REF680226,26/03/2024,196.57,,99715.9,Entertainment
29/03/2024,Dividend received from Allianz,REF658515,29/03/2024,4598.66,,95117.24,Investment
29/03/2024,Retirement fund contribution,REF876046,31/03/2024,1035.81,,94081.43,Investment
30/03/2024,Retirement fund contribution,REF289822,1/4/2024,,4396.29,98477.72,Investment
30/03/2024,Breakfast at Subway,REF232883,31/03/2024,64.86,,98412.86,Dining
30/03/2024,Ride-sharing service - Ola,REF892180,31/03/2024,81.13,,98331.73,Transportation
31/03/2024,Home contents insurance premium,REF117746,1/4/2024,116.35,,98215.38,Insurance-Home
31/03/2024,Retirement fund contribution,REF533655,31/03/2024,934.43,,97280.95,Investment
1/4/2024,Electronics purchase - Microwave,REF135688,1/4/2024,196.41,,97084.54,Shopping
1/4/2024,Mutual fund investment - T Rowe Price Growth,REF776420,3/4/2024,,379.22,97463.76,Investment-Dividend received from {company}
1/4/2024,Bonus payment - Jan-Mar 2024,REF247547,2/4/2024,5137.43,,92326.33,Salary
1/4/2024,Bonus payment - Jan-Mar 2025,REF809080,1/4/2024,,5103.15,97429.48,Salary
2/4/2024,Streaming service subscription - Uber Eats,REF549972,4/4/2024,183.49,,97245.99,Entertainment
3/4/2024,Property insurance renewal,REF744639,3/4/2024,266.48,,96979.51,Insurance-Home
3/4/2024,Contract payment - Software Development,REF762383,5/4/2024,,2703.99,99683.5,Salary
4/4/2024,Fixed deposit creation,REF612028,4/4/2024,,4944.8,104628.3,Investment
4/4/2024,Bond purchase - Treasury,REF967356,6/4/2024,1474.16,,103154.14,Investment
5/4/2024,Health insurance premium for Jul-Sep 2024,REF914413,6/4/2024,350.98,,102803.16,Insurance-Health
5/4/2024,Stock purchase - PG,REF860341,6/4/2024,1756.9,,101046.26,Investment
5/4/2024,Mutual fund investment - PIMCO Income Fund,REF681202,5/4/2024,2129.32,,98916.94,Investment
6/4/2024,Travel insurance for South America trip,REF333960,7/4/2024,80.96,,98835.98,Insurance-Travel
6/4/2024,Car service and maintenance,REF789843,8/4/2024,10.05,,98825.93,Transportation
6/4/2024,Dinner at Chili's,REF461934,6/4/2024,78.98,,98746.95,Dining
6/4/2024,Bonus payment - H1 2024,REF145204,6/4/2024,5080.99,,93665.96,Salary
7/4/2024,Holiday insurance package,REF751944,7/4/2024,57.27,,93608.69,Insurance-Travel
7/4/2024,Commission payment,REF905606,8/4/2024,,6544.22,100152.91,Salary
8/4/2024,Pharmacy purchase at Rite Aid,REF820179,10/4/2024,36.64,,100116.27,Healthcare
8/4/2024,Two-wheeler insurance for Kawasaki Ninja,REF896763,8/4/2024,274.27,,99842,Insurance-Motor
8/4/2024,Tuition fee payment - Business School,REF279282,10/4/2024,537.28,,99304.72,Education
9/4/2024,Dividend received from Allianz,REF277173,9/4/2024,,1961,101265.72,Investment
10/4/2024,Landline phone bill payment,REF146659,11/4/2024,265.74,,100999.98,Bills
10/4/2024,Ride-sharing service - Postmates,REF798911,10/4/2024,24.35,,100975.63,Transportation
11/4/2024,Overtime payment,REF898292,11/4/2024,,2894,103869.63,Salary
11/4/2024,Two-wheeler insurance for Harley Davidson,REF308178,11/4/2024,473.69,,103395.94,Insurance-Motor
12/4/2024,Mutual fund investment - T Rowe Price Growth,REF465826,12/4/2024,,209.71,103605.65,Investment-Dividend received from {company}
12/4/2024,Commission payment,REF814799,14/04/2024,2757.31,,100848.34,Salary
12/4/2024,Commission payment,REF519958,13/04/2024,,5264.36,106112.7,Salary
18/04/2024,Premium payment for life insurance policy #POL13095,REF224394,18/04/2024,440.81,,105671.89,Insurance-Life
18/04/2024,Vehicle insurance payment for Jul-Sep 2024,REF753659,20/04/2024,464.43,,105207.46,Insurance-Motor
20/04/2024,Overtime payment,REF882628,22/04/2024,,5575.99,110783.45,Salary
20/04/2024,Mutual fund investment - T Rowe Price Growth,REF323488,20/04/2024,,3577.18,114360.63,Investment
21/04/2024,Contract payment - Marketing Campaign,REF525886,23/04/2024,,2648.2,117008.83,Salary
23/04/2024,Gas bill for April,REF784571,23/04/2024,229.84,,116778.99,Bills
25/04/2024,Premium payment for life insurance policy #POL26818,REF334327,26/04/2024,186.06,,116592.93,Insurance-Life
26/04/2024,Dental treatment at Perfect Smile,REF549000,28/04/2024,482.64,,116110.29,Healthcare
26/04/2024,Hospital bill payment - General Hospital,REF449768,27/04/2024,216.05,,115894.24,Healthcare
27/04/2024,Commercial vehicle insurance - Bus,REF903691,29/04/2024,583.46,,115310.78,Insurance-Motor
1/5/2024,Stock purchase - GOOGL,REF862431,3/5/2024,,1717.52,117028.3,Investment
1/5/2024,Mutual fund investment - T Rowe Price Growth,REF988032,2/5/2024,,149.56,117177.86,Investment-Dividend received from {company}
2/5/2024,School supplies purchase,REF531273,4/5/2024,490.28,,116687.58,Education
2/5/2024,Property insurance renewal,REF470988,4/5/2024,327.92,,116359.66,Insurance-Home
3/5/2024,Annual renewal of life insurance with MetLife,REF439313,4/5/2024,620.32,,115739.34,Insurance-Life
3/5/2024,Bond purchase - Treasury,REF929594,3/5/2024,1245.88,,114493.46,Investment
4/5/2024,Electronics purchase - Smartphone,REF750091,6/5/2024,456.66,,114036.8,Shopping
4/5/2024,Cable TV subscription renewal,REF848950,5/5/2024,299.05,,113737.75,Bills
4/5/2024,Monthly salary from Global Solutions,REF809979,5/5/2024,,6054.56,119792.31,Salary
5/5/2024,Purchase at Macy's - clothing,REF798756,7/5/2024,364.74,,119427.57,Shopping
6/5/2024,Electronics purchase - Refrigerator,REF246144,7/5/2024,196.45,,119231.12,Shopping
7/5/2024,Taxi fare - Postmates,REF920993,7/5/2024,127.22,,119103.9,Transportation
9/5/2024,Online order from Wayfair,REF621703,9/5/2024,243.61,,118860.29,Shopping
10/5/2024,Monthly salary from ABC Corporation,REF347183,12/5/2024,,3688.51,122548.8,Salary
11/5/2024,Stock purchase - META,REF966990,13/05/2024,,1911.29,124460.09,Investment
11/5/2024,Hospital bill payment - Community Hospital,REF875312,12/5/2024,405.44,,124054.65,Healthcare
12/5/2024,Cable TV subscription renewal,REF956346,13/05/2024,222.25,,123832.4,Bills
12/5/2024,Physiotherapy session payment,REF311040,12/5/2024,253.24,,123579.16,Healthcare
12/5/2024,Mutual fund investment - T Rowe Price Growth,REF814129,12/5/2024,,380.78,123959.94,Investment-Dividend received from {company}
13/05/2024,Retirement fund contribution,REF860821,14/05/2024,,867.21,124827.15,Investment
13/05/2024,Retirement fund contribution,REF575340,13/05/2024,,355.79,125182.94,Investment-Dividend received from {company}
13/05/2024,Coffee and snacks at Costa Coffee,REF570071,15/05/2024,29.22,,125153.72,Dining
14/05/2024,Mobile phone bill - +1-555-3386,REF657911,16/05/2024,250.26,,124903.46,Bills
17/05/2024,Stock purchase - JPM,REF773386,18/05/2024,674.41,,124229.05,Investment
17/05/2024,Business trip insurance coverage,REF246025,18/05/2024,57.94,,124171.11,Insurance-Travel
17/05/2024,Holiday insurance package,REF579828,19/05/2024,147.63,,124023.48,Insurance-Travel
18/05/2024,Student loan repayment,REF967649,19/05/2024,381.3,,123642.18,Education
19/05/2024,Dividend received from AXA,REF949254,20/05/2024,,1569.67,125211.85,Investment
20/05/2024,Bond purchase - Corporate,REF733775,22/05/2024,2307.91,,122903.94,Investment
21/05/2024,Dinner at TGI Fridays,REF232038,21/05/2024,86.75,,122817.19,Dining
23/05/2024,Movie tickets at Landmark Theatres,REF978324,24/05/2024,178.62,,122638.57,Entertainment
26/05/2024,Commission payment,REF620926,27/05/2024,,4082.75,126721.32,Salary
26/05/2024,Fixed deposit creation,REF225229,26/05/2024,,208.61,126929.93,Investment-Dividend received from {company}
27/05/2024,Purchase at Macy's - clothing,REF616888,29/05/2024,26.45,,126903.48,Shopping
27/05/2024,Business trip insurance coverage,REF331467,27/05/2024,259.32,,126644.16,Insurance-Travel
27/05/2024,Bonus payment - Apr-Jun 2024,REF190797,29/05/2024,,5879.61,132523.77,Salary
27/05/2024,Property insurance renewal,REF749405,28/05/2024,293.9,,132229.87,Insurance-Home
28/05/2024,Bookstore purchase,REF524406,28/05/2024,413.27,,131816.6,Shopping
29/05/2024,Family health plan premium,REF408019,29/05/2024,517.79,,131298.81,Insurance-Health
30/05/2024,Mutual fund investment - Vanguard Total Market,REF825017,30/05/2024,,292.91,131591.72,Investment-Dividend received from {company}
30/05/2024,Annual renewal of life insurance with Cigna,REF305106,1/6/2024,555.58,,131036.14,Insurance-Life
31/05/2024,Book purchase for Economics course,REF364410,2/6/2024,712.45,,130323.69,Education
2/6/2024,Purchase at Nordstrom - clothing,REF960420,4/6/2024,91.25,,130232.44,Shopping
3/6/2024,Overtime payment,REF969925,5/6/2024,,6243.29,136475.73,Salary
6/6/2024,Bookstore purchase,REF237012,7/6/2024,156.33,,136319.4,Shopping
8/6/2024,Public transport monthly pass,REF910083,10/6/2024,26.92,,136292.48,Transportation
9/6/2024,Mutual fund investment - PIMCO Income Fund,REF603817,9/6/2024,3006.26,,133286.22,Investment
9/6/2024,Doctor's consultation fee - Dr. Brown,REF721453,10/6/2024,172.25,,133113.97,Healthcare
9/6/2024,Commercial vehicle insurance - Bus,REF231718,11/6/2024,242.43,,132871.54,Insurance-Motor
9/6/2024,Monthly salary from ABC Corporation,REF458365,9/6/2024,6351.86,,126519.68,Salary
10/6/2024,Contract payment - Consulting Project,REF994882,12/6/2024,,6362.2,132881.88,Salary
12/6/2024,Commission payment,REF726130,13/06/2024,,7396.72,140278.6,Salary
12/6/2024,Pharmacy purchase at Walgreens,REF268339,14/06/2024,488.85,,139789.75,Healthcare
14/06/2024,Bond purchase - Municipal,REF460597,14/06/2024,,359.96,140149.71,Investment-Dividend received from {company}
14/06/2024,Electricity bill payment for October,REF807771,14/06/2024,252.91,,139896.8,Bills
15/06/2024,Monthly salary from United Enterprises,REF307244,16/06/2024,,5135.61,145032.41,Salary
15/06/2024,Commission payment,REF530295,17/06/2024,,6477.61,151510.02,Salary
16/06/2024,Pharmacy purchase at Local Pharmacy,REF643302,17/06/2024,536.96,,150973.06,Healthcare
17/06/2024,Public transport monthly pass,REF968518,17/06/2024,24.9,,150948.16,Transportation
17/06/2024,Online order from Etsy,REF585680,17/06/2024,98.43,,150849.73,Shopping
18/06/2024,Term life insurance premium - policy #POL68120,REF133091,20/06/2024,672.4,,150177.33,Insurance-Life
18/06/2024,Auto insurance renewal - policy #POL26818,REF593650,20/06/2024,517.67,,149659.66,Insurance-Motor
18/06/2024,Tuition fee payment - Business School,REF590591,20/06/2024,937.46,,148722.2,Education
19/06/2024,Furniture purchase at Zara,REF420305,20/06/2024,244.61,,148477.59,Shopping
20/06/2024,Stock purchase - PG,REF614110,20/06/2024,,1920.27,150397.86,Investment
21/06/2024,Contract payment - Software Development,REF594370,22/06/2024,,5997,156394.86,Salary
21/06/2024,Overtime payment,REF830913,23/06/2024,,3494.32,159889.18,Salary
22/06/2024,Bonus payment - H1 2024,REF668699,23/06/2024,3181.37,,156707.81,Salary
23/06/2024,Mutual fund investment - T Rowe Price Growth,REF213663,25/06/2024,,454.92,157162.73,Investment-Dividend received from {company}
29/06/2024,School supplies purchase,REF934963,30/06/2024,744.35,,156418.38,Education
30/06/2024,Coffee and snacks at Costa Coffee,REF742929,2/7/2024,131.82,,156286.56,Dining
30/06/2024,Parking fee payment,REF396519,1/7/2024,90.2,,156196.36,Transportation
1/7/2024,Overtime payment,REF481109,1/7/2024,,6910.14,163106.5,Salary
3/7/2024,Doctor's consultation fee - Dr. Smith,REF693865,4/7/2024,518.36,,162588.14,Healthcare
3/7/2024,Internet service payment to T-Mobile,REF526411,4/7/2024,210.15,,162377.99,Bills
4/7/2024,Home contents insurance premium,REF698383,5/7/2024,316.31,,162061.68,Insurance-Home
5/7/2024,Internet service payment to Comcast,REF871589,5/7/2024,176.34,,161885.34,Bills
7/7/2024,Dividend received from Zurich,REF278490,7/7/2024,3999.47,,157885.87,Investment
7/7/2024,Commission payment,REF695049,8/7/2024,,4669.54,162555.41,Salary
7/7/2024,Bond purchase - Corporate,REF731531,7/7/2024,1614.41,,160941,Investment
8/7/2024,Bonus payment - Jan-Mar 2025,REF810146,10/7/2024,,6936.79,167877.79,Salary
8/7/2024,Monthly salary from Global Solutions,REF766299,10/7/2024,,6409.59,174287.38,Salary
8/7/2024,Home contents insurance premium,REF952041,9/7/2024,115.72,,174171.66,Insurance-Home
8/7/2024,Travel insurance for South America trip,REF964949,10/7/2024,195.84,,173975.82,Insurance-Travel
10/7/2024,Concert tickets - NBA Game,REF698460,12/7/2024,153.8,,173822.02,Entertainment
11/7/2024,Bonus payment - 2024-2025,REF364505,11/7/2024,,6097.96,179919.98,Salary
12/7/2024,Life insurance installment #1 of 48,REF384798,12/7/2024,555.5,,179364.48,Insurance-Life
14/07/2024,Dividend received from Liberty,REF761599,16/07/2024,,330.75,179695.23,Investment-Dividend received from {company}
17/07/2024,Annual renewal of life insurance with MetLife,REF121322,18/07/2024,431.53,,179263.7,Insurance-Life
18/07/2024,Contract payment - Training Program,REF202111,19/07/2024,,7166.25,186429.95,Salary
19/07/2024,Bonus payment - Apr-Jun 2024,REF783250,19/07/2024,,3455.77,189885.72,Salary
21/07/2024,Building insurance annual payment,REF390308,22/07/2024,242.43,,189643.29,Insurance-Home
21/07/2024,Life insurance installment #9 of 12,REF491183,21/07/2024,347.48,,189295.81,Insurance-Life
25/07/2024,Health insurance premium for H2 2024,REF980031,27/07/2024,782.66,,188513.15,Insurance-Health
25/07/2024,Bonus payment - 2024-2025,REF657601,27/07/2024,,3050.67,191563.82,Salary
26/07/2024,Purchase at Macy's - clothing,REF336918,27/07/2024,213.49,,191350.33,Shopping
27/07/2024,Contract payment - Design Work,REF767741,29/07/2024,,7088.7,198439.03,Salary
28/07/2024,School supplies purchase,REF955825,30/07/2024,767.02,,197672.01,Education
29/07/2024,Medical insurance payment to Zurich,REF519662,30/07/2024,405.99,,197266.02,Insurance-Health
29/07/2024,Stock purchase - META,REF296587,30/07/2024,,2827.51,200093.53,Investment
30/07/2024,Commission payment,REF737195,30/07/2024,,4473.66,204567.19,Salary
31/07/2024,Property insurance renewal,REF988069,1/8/2024,349.46,,204217.73,Insurance-Home
31/07/2024,Physiotherapy session payment,REF452510,1/8/2024,316.33,,203901.4,Healthcare
1/8/2024,Retirement fund contribution,REF115344,3/8/2024,2506.22,,201395.18,Investment
2/8/2024,Hospital bill payment - Regional Medical Center,REF882497,2/8/2024,461.41,,200933.77,Healthcare
2/8/2024,Contract payment - Marketing Campaign,REF432352,2/8/2024,3824.63,,197109.14,Salary
3/8/2024,Travel insurance for Australia trip,REF925134,3/8/2024,151.12,,196958.02,Insurance-Travel
4/8/2024,Monthly salary from United Enterprises,REF310225,4/8/2024,,6226.93,203184.95,Salary
5/8/2024,Contract payment - Training Program,REF650694,6/8/2024,4058.07,,199126.88,Salary
5/8/2024,Commission payment,REF843315,5/8/2024,,3434.08,202560.96,Salary
8/8/2024,Life insurance installment #4 of 12,REF574572,8/8/2024,348.71,,202212.25,Insurance-Life
12/8/2024,Housing protection plan payment,REF443987,12/8/2024,157.43,,202054.82,Insurance-Home
13/08/2024,Breakfast at Starbucks,REF386623,13/08/2024,157.06,,201897.76,Dining
15/08/2024,Highway toll payment,REF425768,17/08/2024,40.64,,201857.12,Transportation
16/08/2024,Monthly salary from Global Solutions,REF507072,17/08/2024,,6591.84,208448.96,Salary
17/08/2024,Contract payment - Consulting Project,REF274349,19/08/2024,,6056.13,214505.09,Salary
17/08/2024,Health coverage renewal #POL30371,REF544209,19/08/2024,705.28,,213799.81,Insurance-Health
18/08/2024,Annual health insurance payment,REF947815,18/08/2024,454.82,,213344.99,Insurance-Health
18/08/2024,Commission payment,REF670112,18/08/2024,,5242.38,218587.37,Salary
19/08/2024,Bonus payment - Apr-Jun 2024,REF690646,20/08/2024,,6703.11,225290.48,Salary
20/08/2024,Pharmacy purchase at Rite Aid,REF435486,22/08/2024,303.93,,224986.55,Healthcare
20/08/2024,Building insurance annual payment,REF914644,21/08/2024,105.58,,224880.97,Insurance-Home
20/08/2024,Movie tickets at AMC,REF647699,21/08/2024,42.78,,224838.19,Entertainment
21/08/2024,Commission payment,REF969933,21/08/2024,,5954.49,230792.68,Salary
22/08/2024,Monthly salary from ABC Corporation,REF859785,24/08/2024,,6859.64,237652.32,Salary
23/08/2024,Ride-sharing service - Grubhub,REF981585,23/08/2024,149.26,,237503.06,Transportation
25/08/2024,Commission payment,REF718997,26/08/2024,3506.22,,233996.84,Salary
26/08/2024,Online order from Walmart.com,REF472766,26/08/2024,75.71,,233921.13,Shopping
29/08/2024,Concert tickets - Comedy Show,REF923131,29/08/2024,116.53,,233804.6,Entertainment
29/08/2024,Family health plan premium,REF255762,29/08/2024,700.24,,233104.36,Insurance-Health
30/08/2024,Overtime payment,REF365840,1/9/2024,,4555.62,237659.98,Salary
30/08/2024,Monthly salary from National Services,REF259446,31/08/2024,6114.51,,231545.47,Salary
31/08/2024,Family health plan premium,REF697475,31/08/2024,428.14,,231117.33,Insurance-Health
1/9/2024,Bonus payment - H1 2024,REF500090,3/9/2024,,6519.07,237636.4,Salary
1/9/2024,Bonus payment - Jul-Sep 2024,REF709605,3/9/2024,,6344.46,243980.86,Salary
1/9/2024,Vehicle insurance payment for H2 2024,REF638844,2/9/2024,520.79,,243460.07,Insurance-Motor
5/9/2024,Grocery shopping at Whole Foods,REF181413,6/9/2024,199.57,,243260.5,Shopping
5/9/2024,Contract payment - Consulting Project,REF287733,5/9/2024,,4348.31,247608.81,Salary
5/9/2024,Commission payment,REF485465,7/9/2024,6273.22,,241335.59,Salary
6/9/2024,Fuel payment at BP,REF827585,8/9/2024,108.26,,241227.33,Transportation
8/9/2024,Annual multi-trip insurance renewal,REF359505,8/9/2024,222.55,,241004.78,Insurance-Travel
8/9/2024,Landline phone bill payment,REF224833,8/9/2024,99.8,,240904.98,Bills
9/9/2024,Housing protection plan payment,REF313334,11/9/2024,290.92,,240614.06,Insurance-Home
10/9/2024,Movie tickets at Local Cinema,REF233374,11/9/2024,78.5,,240535.56,Entertainment
10/9/2024,Furniture purchase at IKEA,REF371226,11/9/2024,273.82,,240261.74,Shopping
12/9/2024,Annual multi-trip insurance renewal,REF165518,12/9/2024,212.85,,240048.89,Insurance-Travel
12/9/2024,Health coverage renewal #POL51302,REF619025,14/09/2024,780.45,,239268.44,Insurance-Health
13/09/2024,Term life insurance premium - policy #POL97746,REF581058,13/09/2024,810.3,,238458.14,Insurance-Life
15/09/2024,Dividend received from Allianz,REF172215,15/09/2024,3272.42,,235185.72,Investment
16/09/2024,Overtime payment,REF375198,16/09/2024,,6460.99,241646.71,Salary
17/09/2024,Bookstore purchase,REF640821,17/09/2024,323.04,,241323.67,Shopping
17/09/2024,Doctor's consultation fee - Dr. Miller,REF891914,18/09/2024,201.18,,241122.49,Healthcare
18/09/2024,Commission payment,REF815431,20/09/2024,3955.7,,237166.79,Salary
21/09/2024,Holiday insurance package,REF642929,21/09/2024,275.51,,236891.28,Insurance-Travel
22/09/2024,Mutual fund investment - BlackRock Global,REF319096,24/09/2024,,394.1,237285.38,Investment-Dividend received from {company}
27/09/2024,Commission payment,REF319816,29/09/2024,,3152.32,240437.7,Salary
28/09/2024,Home insurance premium - property at 404 Birch Ct,REF638293,30/09/2024,199.96,,240237.74,Insurance-Home
28/09/2024,Movie tickets at Local Cinema,REF517015,29/09/2024,94.04,,240143.7,Entertainment
29/09/2024,Laboratory test charges - Quest Diagnostics,REF886332,29/09/2024,271.24,,239872.46,Healthcare
30/09/2024,Holiday insurance package,REF716014,1/10/2024,171.18,,239701.28,Insurance-Travel
1/10/2024,Annual health insurance payment,REF884455,1/10/2024,453.28,,239248,Insurance-Health
2/10/2024,Retirement fund contribution,REF760229,2/10/2024,,140.61,239388.61,Investment-Dividend received from {company}
3/10/2024,Holiday insurance package,REF769728,3/10/2024,250.99,,239137.62,Insurance-Travel
3/10/2024,Dinner at Chili's,REF311451,4/10/2024,83.42,,239054.2,Dining
7/10/2024,Stock purchase - V,REF269581,9/10/2024,4424.6,,234629.6,Investment
10/10/2024,Gaming subscription renewal,REF315562,12/10/2024,48.43,,234581.17,Entertainment
13/10/2024,Public transport monthly pass,REF708835,13/10/2024,97.72,,234483.45,Transportation
15/10/2024,Car insurance premium for Audi A4,REF764109,15/10/2024,597.85,,233885.6,Insurance-Motor
16/10/2024,Holiday insurance package,REF574054,16/10/2024,215.84,,233669.76,Insurance-Travel
16/10/2024,Monthly salary from Tech Innovations,REF550395,18/10/2024,3223,,230446.76,Salary
16/10/2024,Overtime payment,REF373347,16/10/2024,,6201.68,236648.44,Salary
19/10/2024,Book purchase for Computer Science course,REF936352,21/10/2024,864.01,,235784.43,Education
